provincia_nombre,provincia_id,provincia_poblacion,circunscripcion_judicial_nombre,unidad_judicial_nombre,institucion_nombre,variable_nombre,variable_anio,variable_mes,variable_delito,variable_cantidad
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2014,1,Todos,272
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2014,2,Todos,692
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2014,3,Todos,382
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2014,4,Todos,253
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2014,5,Todos,465
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2014,6,Todos,372
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2014,7,Todos,437
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2014,8,Todos,243
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2014,9,Todos,266
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2014,10,Todos,436
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2014,11,Todos,321
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2014,12,Todos,167
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2014,1,Todos,8
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2014,2,Todos,20
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2014,3,Todos,24
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2014,4,Todos,19
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2014,5,Todos,9
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2014,6,Todos,5
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2014,7,Todos,8
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2014,8,Todos,18
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2014,9,Todos,10
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2014,10,Todos,21
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2014,11,Todos,14
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2014,12,Todos,17
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2014,1,Todos,67
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2014,2,Todos,69
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2014,3,Todos,86
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2014,4,Todos,81
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2014,5,Todos,86
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2014,6,Todos,47
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2014,7,Todos,59
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2014,8,Todos,83
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2014,9,Todos,80
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2014,10,Todos,74
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2014,11,Todos,69
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2014,12,Todos,76
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con requerimiento de elevación a juicio,2014,1,Todos,29
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con requerimiento de elevación a juicio,2014,2,Todos,48
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con requerimiento de elevación a juicio,2014,3,Todos,49
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con requerimiento de elevación a juicio,2014,4,Todos,49
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con requerimiento de elevación a juicio,2014,5,Todos,51
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con requerimiento de elevación a juicio,2014,6,Todos,54
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con requerimiento de elevación a juicio,2014,7,Todos,48
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con requerimiento de elevación a juicio,2014,8,Todos,49
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con requerimiento de elevación a juicio,2014,9,Todos,49
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con requerimiento de elevación a juicio,2014,10,Todos,44
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con requerimiento de elevación a juicio,2014,11,Todos,47
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con requerimiento de elevación a juicio,2014,12,Todos,53
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con resolución de desestimación de denuncia,2014,1,Todos,25
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con resolución de desestimación de denuncia,2014,2,Todos,86
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con resolución de desestimación de denuncia,2014,3,Todos,54
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con resolución de desestimación de denuncia,2014,4,Todos,22
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con resolución de desestimación de denuncia,2014,5,Todos,29
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con resolución de desestimación de denuncia,2014,6,Todos,23
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con resolución de desestimación de denuncia,2014,7,Todos,43
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con resolución de desestimación de denuncia,2014,8,Todos,69
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con resolución de desestimación de denuncia,2014,9,Todos,36
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con resolución de desestimación de denuncia,2014,10,Todos,57
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con resolución de desestimación de denuncia,2014,11,Todos,34
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con resolución de desestimación de denuncia,2014,12,Todos,35
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con sobreseimiento general - Resolución-,2014,1,Todos,9
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con sobreseimiento general - Resolución-,2014,2,Todos,14
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con sobreseimiento general - Resolución-,2014,3,Todos,18
Chubut,26,556319,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con sobreseimiento general - Resolución-,2014,4,Todos,29
