provincia_nombre,provincia_id,provincia_poblacion,circunscripcion_judicial_nombre,unidad_judicial_nombre,institucion_nombre,variable_nombre,variable_anio,variable_mes,variable_delito,variable_cantidad
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2016,1,Todos,41
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2016,2,Todos,318
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2016,3,Todos,347
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2016,4,Todos,681
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2016,5,Todos,527
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2016,6,Todos,664
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2016,7,Todos,396
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2016,8,Todos,260
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2016,9,Todos,324
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2016,10,Todos,297
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2016,11,Todos,151
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2016,12,Todos,218
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2016,1,Todos,1
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2016,2,Todos,16
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2016,3,Todos,12
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2016,4,Todos,4
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2016,5,Todos,12
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2016,6,Todos,2
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2016,7,Todos,8
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2016,8,Todos,19
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2016,9,Todos,27
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2016,10,Todos,22
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2016,11,Todos,28
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2016,12,Todos,4
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2016,1,Todos,40
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2016,2,Todos,51
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2016,3,Todos,69
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2016,4,Todos,70
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2016,5,Todos,69
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2016,6,Todos,72
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2016,7,Todos,45
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2016,8,Todos,61
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2016,9,Todos,59
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2016,10,Todos,57
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2016,11,Todos,66
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2016,12,Todos,57
Chubut,26,577466,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con requerimiento de elevación a juicio,2016,1,Todos,23
