provincia_nombre,provincia_id,provincia_poblacion,circunscripcion_judicial_nombre,unidad_judicial_nombre,institucion_nombre,variable_nombre,variable_anio,variable_mes,variable_delito,variable_cantidad
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2013,1,Todos,360
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2013,2,Todos,412
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2013,3,Todos,637
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2013,4,Todos,575
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2013,5,Todos,680
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2013,6,Todos,425
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2013,7,Todos,567
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2013,8,Todos,517
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2013,9,Todos,344
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2013,10,Todos,398
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2013,11,Todos,347
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo general,2013,12,Todos,404
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2013,3,Todos,10
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2013,4,Todos,27
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2013,5,Todos,32
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2013,6,Todos,11
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2013,7,Todos,16
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2013,8,Todos,27
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2013,9,Todos,15
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2013,10,Todos,6
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2013,11,Todos,18
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con archivo por conciliación,2013,12,Todos,11
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2013,1,Todos,47
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2013,2,Todos,44
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2013,3,Todos,61
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2013,4,Todos,66
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2013,5,Todos,94
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2013,6,Todos,67
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2013,7,Todos,71
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2013,8,Todos,78
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2013,9,Todos,74
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2013,10,Todos,79
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2013,11,Todos,87
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con audiencia de imputación,2013,12,Todos,68
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con requerimiento de elevación a juicio,2013,1,Todos,6
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con requerimiento de elevación a juicio,2013,2,Todos,11
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con requerimiento de elevación a juicio,2013,3,Todos,13
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con requerimiento de elevación a juicio,2013,4,Todos,23
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con requerimiento de elevación a juicio,2013,5,Todos,31
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con requerimiento de elevación a juicio,2013,6,Todos,22
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con requerimiento de elevación a juicio,2013,7,Todos,27
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con requerimiento de elevación a juicio,2013,8,Todos,36
Chubut,26,545656,Comodoro Rivadavia,n/a,Ministerio Público Fiscal,Cantidad de casos con requerimiento de elevación a juicio,2013,9,Todos,43
