titulo_completo,delito_artículo,delito_descripcion,tipo,codigo_delito
CPN - Título XI - Delitos contra la administración pública/Capítulo III,Art. 247 Pár. 2,Usurpación de títulos u honores,específico,CP.247.0.02.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo IV,Art. 248,Abuso de autoridad e incumplimiento de los deberes de los funcionarios públicos,específico/general,CP.248.0.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo IV,Art. 248 bis,Abuso de autoridad e incumplimiento de los deberes de los funcionarios públicos,específico/general,CP.248.2.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo IV,Art. 249,Omisión o retardo de acto de algún oficio,específico/general,CP.249.0.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo IV,Art. 249 bis,Abuso de autoridad,específico/general,CP.249.2.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo IV,Art. 250,Omisión o retardo de auxilio ,específico/general,CP.250.0.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo IV,Art. 250 bis,Incumplimiento de los deberes de un militar,general,CP.250.2.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo IV,Art. 250 bis Inc. 1,Incumplimiento de los deberes de un militar por abandono de funciones,específico,CP.250.2.00.01.00
CPN - Título XI - Delitos contra la administración pública/Capítulo IV,Art. 250 bis Inc. 2,Incumplimiento de los deberes de un militar por no informar datos significativos,específico,CP.250.2.00.02.00
CPN - Título XI - Delitos contra la administración pública/Capítulo IV,Art. 251,Requerimiento indebido de la fuerza pública ,específico/general,CP.251.0.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo IV,Art. 252,Abandono de cargo,general,CP.252.0.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo IV,Art. 252 Pár. 1,Abandono de cargo,específico,CP.252.0.01.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo IV,Art. 252 Pár. 2,Abandono de cargo,específico,CP.252.0.02.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo IV,Art. 252 Pár. 3,Abandono de cargo agravado,específico,CP.252.0.03.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo IV,Art. 252 Pár. 4 Parte 1,Abandono de cargo agravado,específico,CP.252.0.04.00.01
CPN - Título XI - Delitos contra la administración pública/Capítulo IV,Art. 252 Pár. 4 Parte 2,Abandono de cargo agravado,específico,CP.252.0.04.00.02
CPN - Título XI - Delitos contra la administración pública/Capítulo IV,Art. 253,Falta de requisitos legales para el nombramiento o la aceptación de un cargo público,específico/general,CP.253.0.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo IV,Art. 253 bis,Abuso de bienes y facultades militares,específico/general,CP.253.2.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo IV,Art. 253 ter,Inidoneidad militar (muertes o pérdidas militares culposas),específico/general,CP.253.3.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo V,Art. 254,Violación de sellos y documentos,general,CP.254.0.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo V,Art. 254 Parte 1,Violación de sellos y documentos,específico,CP.254.0.00.00.01
CPN - Título XI - Delitos contra la administración pública/Capítulo V,Art. 254 Parte 2,Violación de sellos y documentos,específico,CP.254.0.00.00.02
CPN - Título XI - Delitos contra la administración pública/Capítulo V,Art. 254 Parte 3,Violación de sellos y documentos atenuada,específico,CP.254.0.00.00.03
CPN - Título XI - Delitos contra la administración pública/Capítulo V,Art. 255,Sustracción de elementos probatorios,general,CP.255.0.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo V,Art. 255 Pár. 1,Sustracción de elementos probatorios,específico,CP.255.0.01.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo V,Art. 255 Pár. 2,Sustracción de elementos probatorios atenuado,específico,CP.255.0.02.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo VI,Art. 256,Cohecho,específico/general,CP.256.0.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo VI,Art. 256 bis,Tráfico de influencia,general,CP.256.2.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo VI,Art. 256 bis Pár. 1,Tráfico de influencia,específico,CP.256.2.01.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo VI,Art. 256 bis Pár. 2,Tráfico de influencia agravado,específico,CP.256.2.02.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo VI,Art. 257,Cohecho del magistrado,específico/general,CP.257.0.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo VI,Art. 258,Cohecho activo,general,CP.258.0.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo VI,Art. 258 Pár. 1 Parte 1,Cohecho activo,específico,CP.258.0.01.00.01
CPN - Título XI - Delitos contra la administración pública/Capítulo VI,Art. 258 Pár. 1 Parte 2,Cohecho activo agravado,específico,CP.258.0.01.00.02
CPN - Título XI - Delitos contra la administración pública/Capítulo VI,Art. 258 bis,Soborno transaccional a funcionario extranjero,específico/general,CP.258.2.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo VI,Art. 259,Dádivas,general,CP.259.0.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo VI,Art. 259 Parte 1,Admisión de dádivas,específico,CP.259.0.00.00.01
CPN - Título XI - Delitos contra la administración pública/Capítulo VI,Art. 259 Parte 2,Presentación u ofrecimiento de dádivas,específico,CP.259.0.00.00.02
CPN - Título XI - Delitos contra la administración pública/Capítulo VII,Art. 260,Malversación de caudales públicos,general,CP.260.0.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo VII,Art. 260 Parte 1,Malversación de caudales públicos,específico,CP.260.0.00.00.01
CPN - Título XI - Delitos contra la administración pública/Capítulo VII,Art. 260 Parte 2,Malversación de caudales públicos agravada,específico,CP.260.0.00.00.02
CPN - Título XI - Delitos contra la administración pública/Capítulo VII,Art. 261,Peculado,específico/general,CP.261.0.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo VII,Art. 262,Malversación de caudales públicos culposa,específico/general,CP.262.0.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo VII,Art. 264,Demora injustificada de pagos ordinarios y negativa a entregar bienes (malversación omisiva),general,CP.264.0.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo VII,Art. 264 Parte 1,Demora injustificada de pago,específico,CP.264.0.00.00.01
CPN - Título XI - Delitos contra la administración pública/Capítulo VII,Art. 264 Parte 2,Negativa a entregar bienes,específico,CP.264.0.00.00.02
CPN - Título XI - Delitos contra la administración pública/Capítulo VIII,Art. 265,Negociaciones incompatibles con el ejercicio de funciones públicas,específico/general,CP.265.0.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo IX,Art. 266,Exacciones ilegales,específico/general,CP.266.0.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo IX,Art. 267,Exacción ilegal agravada por el modo,específico/general,CP.267.0.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo IX,Art. 268,Exacción agravada por el destino del tributo,específico/general,CP.268.0.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo IX bis,Art. 268 1,Utilización de información y datos reservados,específico/general,CP.268.1.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo IX bis,Art. 268 2,Enriquecimiento ilícito de funcionario público,específico/general,CP.268.2.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo IX bis,Art. 268 3,No presentar declaración jurada o falsear u omitir datos,general,CP.268.3.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo IX bis,Art. 268 3 Pár. 1,No presentar declaración jurada quien está obligado,específico,CP.268.3.01.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo IX bis,Art. 268 3 Pár. 3,Falsear u omitir datos en declaraciones juradas,específico,CP.268.3.03.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo X,Art. 269,Prevaricato,general,CP.269.0.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo X,Art. 269 Pár. 1,Prevaricato,específico,CP.269.0.01.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo X,Art. 269 Pár. 2,Prevaricato agravado,específico,CP.269.0.02.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo X,Art. 270,Prevaricato con prisión preventiva y legal,específico/general,CP.270.0.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo X,Art. 271,Prevaricato de abogados y otros profesionales,específico/general,CP.271.0.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo X,Art. 272,Prevaricato de auxiliares de la justicia y otros funcionarios,específico/general,CP.272.0.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo XI,Art. 273,Denegación y retardo de justicia,general,CP.273.0.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo XI,Art. 273 Pár. 1,Denegación y retardo de justicia,específico,CP.273.0.01.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo XI,Art. 273 Pár. 2,Denegación y retardo de justicia,específico,CP.273.0.02.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo XI,Art. 274,Omisión de persecución y represión de delincuentes,específico/general,CP.274.0.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo XII,Art. 275,Falso testimonio,general,CP.275.0.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo XII,Art. 275 Pár. 1,Falso testimonio,específico,CP.275.0.01.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo XII,Art. 275 Pár. 2,Falso testimonio agravado,específico,CP.275.0.02.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo XII,Art. 276,Falso testimonio agravado por cohecho,específico/general,CP.276.0.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo XII,Art. 276 bis,Falso testimonio agravado,específico/general,CP.276.2.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo XIII,Art. 277,Encubrimiento,general,CP.277.0.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo XIII,Art. 277 Inc. 1 Parte a,Encubrimiento,específico,CP.277.0.00.01.01
CPN - Título XI - Delitos contra la administración pública/Capítulo XIII,Art. 277 Inc. 1 Parte b,Encubrimiento,específico,CP.277.0.00.01.02
CPN - Título XI - Delitos contra la administración pública/Capítulo XIII,Art. 277 Inc. 1 Parte c,Encubrimiento,específico,CP.277.0.00.01.03
CPN - Título XI - Delitos contra la administración pública/Capítulo XIII,Art. 277 Inc. 1 Parte d,Encubrimiento,específico,CP.277.0.00.01.04
CPN - Título XI - Delitos contra la administración pública/Capítulo XIII,Art. 277 Inc. 1 Parte e,Encubrimiento,específico,CP.277.0.00.01.05
CPN - Título XI - Delitos contra la administración pública/Capítulo XIII,Art. 277 Inc. 2,Encubrimiento,específico,CP.277.0.00.02.00
CPN - Título XI - Delitos contra la administración pública/Capítulo XIII,Art. 277 Inc. 3 Parte a,Encubrimiento agravado,específico,CP.277.0.00.03.01
CPN - Título XI - Delitos contra la administración pública/Capítulo XIII,Art. 277 Inc. 3 Parte b,Encubrimiento agravado,específico,CP.277.0.00.03.02
CPN - Título XI - Delitos contra la administración pública/Capítulo XIII,Art. 277 Inc. 3 Parte c,Encubrimiento agravado,específico,CP.277.0.00.03.03
CPN - Título XI - Delitos contra la administración pública/Capítulo XIII,Art. 277 Inc. 3 Parte d,Encubrimiento agravado,específico,CP.277.0.00.03.04
CPN - Título XI - Delitos contra la administración pública/Capítulo XIII,Art. 277 bis,Encubrimiento doloso de abigeato,específico/general,CP.277.2.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo XIII,Art. 277 ter,Encubrimiento culposo de abigeato,específico/general,CP.277.3.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo XIII,Art. 279,Encubrimiento atenuado,específico/general,CP.279.0.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo XIV,Art. 280,Evasión,específico/general,CP.280.0.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo XIV,Art. 281,Favorecimiento de evasión,general,CP.281.0.00.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo XIV,Art. 281 Pár. 1,Favorecimiento de evasión,específico,CP.281.0.01.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo XIV,Art. 281 Pár. 2,Favorecimiento de evasión agravado,específico,CP.281.0.02.00.00
CPN - Título XI - Delitos contra la administración pública/Capítulo XIV,Art. 281 bis,Quebrantamiento de inhabilitación,específico/general,CP.281.2.00.00.00
CPN - Título XII - Delitos contra la fe pública/Capítulo I,Art. 282,"Falsificación de moneda, billetes de banco, títulos al portador y documentos de crédito",específico/general,CP.282.0.00.00.00
CPN - Título XII - Delitos contra la fe pública/Capítulo I,Art. 283,Cercenamiento o alteración de moneda,general,CP.283.0.00.00.00
CPN - Título XII - Delitos contra la fe pública/Capítulo I,Art. 283 Pár. 1,Cercenamiento o alteración de moneda,específico,CP.283.0.01.00.00
CPN - Título XII - Delitos contra la fe pública/Capítulo I,Art. 283 Pár. 2,Cercenamiento o alteración de moneda atenuado,específico,CP.283.0.02.00.00
CPN - Título XII - Delitos contra la fe pública/Capítulo I,Art. 284,Moneda falsa receptada de buena fe,específico/general,CP.284.0.00.00.00
CPN - Título XII - Delitos contra la fe pública/Capítulo I,Art. 285,"Falsificación, cercenamiento o adulteración de títulos de la deuda nacional, provincial o municipal",específico/general,CP.285.0.00.00.00
CPN - Título XII - Delitos contra la fe pública/Capítulo I,Art. 287,Fabricación y emisión ilegal de moneda,específico/general,CP.287.0.00.00.00
CPN - Título XII - Delitos contra la fe pública/Capítulo II,Art. 288,Falsificación de sellos,general,CP.288.0.00.00.00
CPN - Título XII - Delitos contra la fe pública/Capítulo II,Art. 288 Inc. 1,Falsificación de sellos oficiales,específico,CP.288.0.00.01.00
CPN - Título XII - Delitos contra la fe pública/Capítulo II,Art. 288 Inc. 2,"Falsificación de papel sellado, sellos de correos o telégrafos",específico,CP.288.0.00.02.00
CPN - Título XII - Delitos contra la fe pública/Capítulo II,Art. 289,"Falsificación de marcas, contraseñas, firmas o billetes",general,CP.289.0.00.00.00
CPN - Título XII - Delitos contra la fe pública/Capítulo II,Art. 289 Inc. 1,"Falsificación de marcas, contraseñas o firmas",específico,CP.289.0.00.01.00
CPN - Título XII - Delitos contra la fe pública/Capítulo II,Art. 289 Inc. 2,Falsificación de billetes de empresas públicas de transporte,específico,CP.289.0.00.02.00
CPN - Título XII - Delitos contra la fe pública/Capítulo II,Art. 289 Inc. 3,"Falsificación, alteración o supresión de numeración",específico,CP.289.0.00.03.00
CPN - Título XII - Delitos contra la fe pública/Capítulo II,Art. 290,"Restauración, uso o tráfico de sellos, timbres, marcas o contraseñas",general,CP.290.0.00.00.00
CPN - Título XII - Delitos contra la fe pública/Capítulo II,Art. 290 Pár. 1,"Restauración de sellos, timbres, marcas o contraseñas ya utilizados",específico,CP.290.0.01.00.00
CPN - Título XII - Delitos contra la fe pública/Capítulo II,Art. 290 Pár. 2,"Uso y tráfico de sellos, timbres, marcas o contraseñas inutilizados",específico,CP.290.0.02.00.00
CPN - Título XII - Delitos contra la fe pública/Capítulo III,Art. 292,Falsificación o adulteración de documentos,general,CP.292.0.00.00.00
CPN - Título XII - Delitos contra la fe pública/Capítulo III,Art. 292 Pár. 1 Parte 1,Falsificación o adulteración de instrumentos públicos,específico,CP.292.0.01.00.01
CPN - Título XII - Delitos contra la fe pública/Capítulo III,Art. 292 Pár. 1 Parte 2,Falsificación o adulteración de documentos privado,específico,CP.292.0.01.00.02
CPN - Título XII - Delitos contra la fe pública/Capítulo III,Art. 292 Pár. 2,Falsificación o adulteración de documentos agravado,específico,CP.292.0.02.00.00
CPN - Título XII - Delitos contra la fe pública/Capítulo III,Art. 293,Falsedad ideológica en documentos,general,CP.293.0.00.00.00
CPN - Título XII - Delitos contra la fe pública/Capítulo III,Art. 293 Pár. 1,Falsedad ideológica en documentos,específico,CP.293.0.01.00.00
CPN - Título XII - Delitos contra la fe pública/Capítulo III,Art. 293 Pár. 2,Falsedad ideológica en documentos agravada,específico,CP.293.0.02.00.00
CPN - Título XII - Delitos contra la fe pública/Capítulo III,Art. 293 bis,Expedición de certificado o visado sin verificar,específico/general,CP.293.2.00.00.00
CPN - Título XII - Delitos contra la fe pública/Capítulo III,Art. 294,Destrucción documento privado,específico/general,CP.294.0.00.00.00
CPN - Título XII - Delitos contra la fe pública/Capítulo III,Art. 295,Falsedad en certificado médico,general,CP.295.0.00.00.00
CPN - Título XII - Delitos contra la fe pública/Capítulo III,Art. 295 Pár. 1,Falsedad en certificado médico,específico,CP.295.0.01.00.00
CPN - Título XII - Delitos contra la fe pública/Capítulo III,Art. 295 Pár. 2,Falsedad en certificado médico agravado,específico,CP.295.0.02.00.00
CPN - Título XII - Delitos contra la fe pública/Capítulo III,Art. 296,Uso de documento falsificado o adulterado,específico/general,CP.296.0.00.00.00
CPN - Título XII - Delitos contra la fe pública/Capítulo III,Art. 298 bis,Falsedades relacionadas a facturas conformadas ,general,CP.298.2.00.00.00
CPN - Título XII - Delitos contra la fe pública/Capítulo III,Art. 298 bis Parte 1,Falsedades relacionadas a facturas conformadas ,específico,CP.298.2.00.00.01
CPN - Título XII - Delitos contra la fe pública/Capítulo III,Art. 298 bis Parte 2,Falsedades relacionadas a facturas conformadas ,específico,CP.298.2.00.00.02
CPN - Título XII - Delitos contra la fe pública/Capítulo IV,Art. 299,"Falsificación, introducción o tenencia de instrumento para falsificar",específico/general,CP.299.0.00.00.00
CPN - Título XII - Delitos contra la fe pública/Capítulo V,Art. 300,Fraude al comercio y a la industria,general,CP.300.0.00.00.00
CPN - Título XII - Delitos contra la fe pública/Capítulo V,Art. 300 Inc. 1,Fraude al comercio y a la industria,específico,CP.300.0.00.01.00
CPN - Título XII - Delitos contra la fe pública/Capítulo V,Art. 300 Inc. 2,Fraude al comercio y a la industria,específico,CP.300.0.00.02.00
CPN - Título XII - Delitos contra la fe pública/Capítulo V,Art. 300 bis,Fraude al comercio y a la industria agravado,específico/general,CP.300.2.00.00.00
CPN - Título XII - Delitos contra la fe pública/Capítulo V,Art. 301,Autorización indebida,general,CP.301.0.00.00.00
CPN - Título XII - Delitos contra la fe pública/Capítulo V,Art. 301 Parte 1,Autorización indebida,específico,CP.301.0.00.00.01
CPN - Título XII - Delitos contra la fe pública/Capítulo V,Art. 301 Parte 2,Autorización indebida agravada,específico,CP.301.0.00.00.02
CPN - Título XII - Delitos contra la fe pública/Capítulo V,Art. 301 bis,"Explotar, administrar, operar u organizar juegos de azar sin autorización",específico/general,CP.301.2.00.00.00
CPN - Título XII - Delitos contra la fe pública/Capítulo VI,Art. 302,Pago con cheque sin provisión de fondos,general,CP.302.0.00.00.00
CPN - Título XII - Delitos contra la fe pública/Capítulo VI,Art. 302 Inc. 1,Pago con cheque sin provisión de fondos,específico,CP.302.0.00.01.00
CPN - Título XII - Delitos contra la fe pública/Capítulo VI,Art. 302 Inc. 2,Pago con cheque sin provisión de fondos,específico,CP.302.0.00.02.00
CPN - Título XII - Delitos contra la fe pública/Capítulo VI,Art. 302 Inc. 3,Pago con cheque sin provisión de fondos,específico,CP.302.0.00.03.00
CPN - Título XII - Delitos contra la fe pública/Capítulo VI,Art. 302 Inc. 4,Pago con cheque sin provisión de fondos,específico,CP.302.0.00.04.00
CPN - Título XIII - Delitos contra el orden económico y financiero,Art. 303,Lavado de activos,general,CP.303.0.00.00.00
CPN - Título XIII - Delitos contra el orden económico y financiero,Art. 304,Responsabilidad Penal de las Personas Jurídicas,general,CP.304.0.00.00.00
CPN - Título XIII - Delitos contra el orden económico y financiero,Art. 306,Financiamiento del terrorismo,general,CP.306.0.00.00.00
CPN - Título XIII - Delitos contra el orden económico y financiero,Art. 307,Suministro o uso de información privilegiada,general,CP.307.0.00.00.00
CPN - Título XIII - Delitos contra el orden económico y financiero,Art. 308,Suministro o uso de información privilegiada agravada,general,CP.308.0.00.00.00
CPN - Título XIII - Delitos contra el orden económico y financiero,Art. 309,Manipulación del mercado y oferta engañosa,general,CP.309.0.00.00.00
CPN - Título XIII - Delitos contra el orden económico y financiero,Art. 310,Intermediación y captación irregular o no autorizada,general,CP.310.0.00.00.00
CPN - Título XIII - Delitos contra el orden económico y financiero,Art. 311,Registro irregular de operaciones financieras,general,CP.311.0.00.00.00
CPN - Título XIII - Delitos contra el orden económico y financiero,Art. 312,Cohecho financiero,general,CP.312.0.00.00.00
23737,Ley N° 23737,Narcotráfico,general ,23737.000.0.00.00.00
23737,Ley N° 23737 Art. 5 Pár. 1 Inc. c,Comercialización de estupefacientes,específico,23737.005.0.01.03.00
23737,Ley N° 23737 Art. 5 Pár. 1 Inc. d,Tenencia de estupefacientes con fines de comercialización simple,específico,23737.005.0.01.04.00
23737,Ley N° 23737 Art. 5 Pár. 1 Inc. e,"Entrega, suministro o facilitación de estupefacientes a título oneroso simple o agravado ",específico,23737.005.0.01.05.00
23737,Ley N° 23737 Art. 5 Pár. 3,Siembra o cultivo de estupefacientes para uso personal,específico,23737.005.0.03.00.00
23737,Ley N° 23737 Art. 5 Pár. 4,"Último párrafo ley 23737 Entrega, suministro o facilitación de estupefacientes a título gratuito atenuada.",específico,23737.005.0.04.00.00
23737,Ley N° 23737 Art. 10 Pár. 1,Facilitación de un lugar para el consumo de estupefacientes,específico,23737.010.0.01.00.00
23737,Ley N° 23737 Art. 11 ,Tenencia con fines de comercialización agravada,específico,23737.011.0.00.00.00
23737,Ley N° 23737 Art. 14 Pár. 1,Tenencia simple de estupefacientes,específico,23737.014.0.01.00.00
23737,Ley N° 23737 Art. 14 Pár. 2,Tenencia de estupefacientes para consumo personal ,específico,23737.014.0.02.00.00
23737,Ley N° 23737 Art. 29 Pár. 1,Falsificación de recetas médicas,específico,23737.029.0.01.00.00
23737,Ley N° 23737 Art. 29 bis,Confabulación para cometer los delitos comprendidos en los delitos de tráfico desferalizados,específico,23737.029.2.00.00.00
23184,Ley N° 23184,Violencia en espectáculos deportivos,general,23184.000.0.00.00.00
25761,Ley N° 25761,Desarmado de autopartes,general,25761.000.0.00.00.00
22421,Ley N° 22421,Conservación de la fauna,general,22421.000.0.00.00.00
22421,Ley N° 22421 Art. 24 Pár. 1,Cazar animales de la fauna silvestre en campo ajeno sin autorización,específico,22421.024.0.01.00.00
22421,Ley N° 22421 Art. 25 Pár. 1,Cazar animales de la fauna silvestre cuya captura o comercialización estén prohibidas,específico,22421.025.0.01.00.00
22421,Ley N° 22421 Art. 26 Pár. 1,"Cazar animales de la fauna silvestre utilizando armas, artes o medios prohibidos por la autoridad ",específico,22421.026.0.01.00.00
22421,Ley N° 22421 Art. 27 Pár. 1,"Transportar, almacenar, comprar, vender, industrializar o comercializar piezas, productos o subproductos provenientes de la caza furtiva",específico,22421.027.0.01.00.00
11723,Ley N° 11723,Propiedad intelectual ,general,11723.000.0.00.00.00
11723,Ley N° 11723 Art. 71 Pár. 1,Fraude de los derechos de propiedad intelectual,específico,11723.071.0.01.00.00
11723,Ley N° 11723 Art. 72 Pár. 1 Inc. a,Vender o reproducir obras sin autorización de su autor o derechohabientes,específico,11723.072.0.01.01.00
11723,Ley N° 11723 Art. 72 Pár. 1 Inc. b,Falsificación de obras intelectuales,específico,11723.072.0.01.02.00
11723,Ley N° 11723 Art. 72 Pár. 1 Inc. c,Venta o reproducción de una obra suprimiendo o cambiando el nombre del autor,específico,11723.072.0.01.03.00
11723,Ley N° 11723 Art. 72 Pár. 1 Inc. d,Edición o reproducción en mayor número de los ejemplares debidamente autorizados,específico,11723.072.0.01.04.00
11723,Ley N° 11723 Art. 72 bis Pár. 1 Inc. a,Reproducción de un fonograma sin autorización,específico,11723.072.2.01.01.00
11723,Ley N° 11723 Art. 72 bis Pár. 1 Inc. b,Reproducción ilícita mediante el alquiler de discos fonográficos,específico,11723.072.2.01.02.00
11723,Ley N° 11723 Art. 72 bis Pár. 1 Inc. c,Reproducción de copias no autorizadas por encargo de terceros mediante un precio,específico,11723.072.2.01.03.00
11723,Ley N° 11723 Art. 72 bis Pár. 1 Inc. d,Almacenamiento o exhibición de copias ilícitas,específico,11723.072.2.01.04.00
11723,Ley N° 11723 Art. 72 bis Pár. 1 Inc. e,Importación de copias ilegales con miras a su distribución al público,específico,11723.072.2.01.05.00
11723,Ley N° 11723 Art. 73 Pár. 1 Inc. a,Representación pública de obras teatrales o literarias sin autorización de sus autores o derechohabientes,específico,11723.073.0.01.01.00
11723,Ley N° 11723 Art. 73 Pár. 1 Inc. b,Ejecutar públicamente obras musicales sin autorización de sus autores o derechohabientes,específico,11723.073.0.01.02.00
11724,Ley N° 11724 Art. 74 Pár. 1,Atribución indebida de la calidad de autor o derecho habiente,específico,11724.074.0.01.00.00
